N,S_seg,no_stream_ms,stream_ms,speedup
10000000,10000,17.273,19.540,0.884
10000000,50000,17.291,15.050,1.149
10000000,100000,17.438,14.249,1.224
10000000,200000,17.792,13.869,1.283
10000000,500000,17.569,13.587,1.293
10000000,1000000,17.490,13.299,1.315
10000000,2000000,17.416,13.924,1.251
